questions,answers
Where can I find the privacy policy for WorkSafe?,The privacy policy is available to review on the <a href='https://rtw.anthem.com/register' target='_blank'><b>WorkSafe registration page</b></a>.  To access the privacy policy directly click<a href='https://rtw.anthem.com/privacy-policy' target='_blank'> here</a><FEEDBACK/>
If I receive the message 'Active user already exists in the system with that Badge ID' during registration?,This means you are already registered for WorkSafe. You can access the Daily Health Assessment from the Anthem Pulse mobile app on your device or through the unique URL sent via SMS to your registered device.<FEEDBACK/>
What if I accidently lose or erase the SMS message with the unique Daily Health Assessment link included?,You can access the Daily Health Assessment from the Anthem Pulse mobile app on your device or click <a href='https://rtw.anthem.com/resend-magic-link' target='_blank'>here</a> to have your unique Daily Health Assessment link resent to your registered device.<FEEDBACK/>
If I receive the message 'You are not currently eligible for this application' during registration?,"This means your badge is not eligible for WorkSafe. You will need to contact <a href=""mailto:BuildingAccessRequests\@anthem.com"">Building Access Request</a><FEEDBACK/>"
If I receive the message 'Badge ID cannot be matched to active badge in system' during registration?,"This means you have not entered the correct badge number from the back of your badge. Please ensure you are using an active badge.  A badge previously reported lost, stolen, or terminated will not allow registration. You can reference the tooltip <b>(i)</b> next to ID Badge Number on the registration form.<FEEDBACK/>"
How do I know if I am considered fully vaccinated?,"An Associate or Contractor is considered fully vaccinated if the associate received both vaccinations from Pfizer or Moderna, or received 1 vaccination from Johnson and Johnson + two weeks.<FEEDBACK/>"
How many times can I take the daily health assessment?,You are required to complete the Daily Health Assessment once every 24 hours. You can take the assessment as many times as you need. The assessment relies on an Associates integrity in answering the questions.<FEEDBACK/>
How many times do I need to answer the vaccination status question?,Once.
After Im registered how can I update my information? ,"Once registered, users have the ability to update their information on an 'as-needed' basis by managing their account in the Daily Heath Assessment.  Within Manage Account, users can change their preferred mobile phone number and the associate designation.  All changes are saved once youve received and entered a one-time passcode to validate the changes.<FEEDBACK/>"
What is an associate designation and when would I need to update it?,"There are four associate designations in WorkSafe. The designation you choose should reflect where you are working and who you may be interacting with.  For example, if you are a sales person and you are working from an Anthem office you should designate 'Anthem Office' for that day.  However, if you then go into the field the next day to visit a client then you should designate 'External-Non Patient/Member' for that day.<FEEDBACK/>"
If I am working from home which designation do I use?,"When working from home, you need to switch your designation to Anthem Office."
Can I reuse the Daily Health Assessment link?,"Yes, the delivered link is unique by mobile number. We encourage Associates/Non-Associates who have access to the Anthem Pulse mobile app to take the Health Assessment from the app itself.  However, The Daily Health Assessment link is available as a secondary option for those who do not have access to Pulse Mobile app.   Bookmark this link to complete your Health Assessment daily."
Do I have to complete the assessment daily?,Associates/Non-Associates upon entering an Anthem PulsePoint or going into the field will need to complete the assessment. The daily health assessment is directly connected to Anthems badging system which will enable access over a 24-hour period based on successful completion of the questionnaire. <FEEDBACK/>
What happens when I take the assessment?,"The assessment questions rely on Associates/Non-Associates answering honestly.
Associates/Non-Associates that receive a 'You Passed', green light upon completion of the assessment will enable their badge access to assigned Anthem properties to work for 24-hours.<br/>Should an Associate/Non-Associate receive a 'You Did Not Pass', red light upon completion of the assessment will be given instructions as part of the results and badge access will be disabled.<FEEDBACK/>"
What if I made a mistake answering the assessment questions?,Should an Associate/Non-Associate answer any of the assessment questions and submit incorrect answers can re-take the assessment.<FEEDBACK/>
How do I locate which six digits to use on my badge for the registration?,"To locate the badge numbers needed for registration, click on the <b>(i)</b> tooltip next to ID Badge Number for more info.<FEEDBACK/>
"
How do I install the Anthem Pulse Mobile app on my company issued or personal device?,"To get more information relating to Anthem Pulse Mobile to install on your preferred company or personal mobile device please click <a href='https://pulse.antheminc.com/webcenter/portal/Pulse/system/DefaultDetail?contentID=AEPULSE_248750' target='_blank'> here.</a><FEEDBACK/>
"
What if my Domain ID and Password do not work when logging into Anthem Pulse Mobile?,"To login to Anthem Pulse Mobile, you will use the same Domain ID and password as you use to login to your computer. Ensure your password follows the below validation rules:<br/><br/>
<ul>
<li>
<b>1. </b>Password must be 8-20 characters long.
</li>
<li>
<b>2. </b>Password must be alphanumeric.
</li>
<li>
<b>3. </b>Password cannot contain spaces
</li>
<li>
<b>4. </b>Password cannot contain the User Name or the first three characters of User Name
</li>
<li>
<b>5. </b>No character can be consecutively repeated in a password more than twice
</li>
<li>
<b>6. </b>Password cannot contain the following special characters &,<,>,\,"",'
</li>
<li>
<b>7. </b>Password Valid Characters Allowed:</b><br/> 
ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789_!#$%^*()+,.?;:]}[{|@
</li>
</ul>
<i class=""fa fa-chevron-circle-right arrowcolor""></i> You will need to reset your password if it does not meet the above requirements.<EMAIL/><FEEDBACK/>"
"For associates who are 100% Work@Home before being sent home for COVID-19, what is the requirement for them to go into the PulsePoint?","All associates are valuable members of the Anthem team and will continue to be in our hybrid workforce model regardless of current location or work arrangement. How often associates are expected to go into a PulsePoint depends on their hybrid category.  Associates who were full-time W\@H prior to COVID-19 and are too far from an Anthem PulsePoint (requiring air travel, for example) or those whose PulsePoint closed and there is no other PulsePoint within commutable distance may continue to work primarily virtually or in the field,likely in the H3Q category even if they cant get to the office three times per quarter.  Associates who are within a reasonable commuting distance are expected to visit a PulsePoint according to their assigned hybrid category frequency.<FEEDBACK/>"
"I have some concerns in that if I do (or do not) go into a PulsePoint, this will tell others what my vaccination A: status is. Isn't this an invasion of privacy?","It is important to understand that this attestation is not a violation of HIPAA nor a privacy concern.  An employer asking about vaccination status is not covered under the Health Insurance Portability and Accountability Act (HIPAA), and is not a violation of HIPAA or any other privacy regulations. Any inquiries from the company regarding associates vaccine status is treated as confidential information.  As for others seeing associates enter (or not be present in) a PulsePoint, we should respect each others privacy and what may appear to be their vaccination status.  People have many reasons for getting not getting the vaccine.  We will work with all associates to ensure that they remain connected no matter their status or where they work.  With many associates working at home, it may be difficult to discern who is/is not vaccinated on any given day.<FEEDBACK/>"
I ordered my ID badge.  Do I have to go in and pick it up in order to get the badge number?  I know I need the badge number to register for WorkSafe.,"No, you dont need to go to the office to pick up your badge in order to register for Worksafe. Once your badge order is complete, you can look up your badge number in the<a href='https://bam.antheminc.com/' target='_blank'> online badge look up tool</a> or request it via email from <a href=""mailto:BuildingAccessRequests\@anthem.com"">Building Access Request</a>. A badge order is only complete after the manager approves the associates badge request in <a href='https://pulse.antheminc.com/cs/idcplg?IdcService=GET_FILE&RevisionSelectionMethod=LatestReleased&Rendition=Web&dDocName=AEPULSE_293861&noSaveAs=1' target='_blank'> IT Service Connect</a>, an appropriate photo provided, and the badge is printed onsite.  The badge will be held onsite for when the associate visits, so no special trip to the office is necessary. This same process will be followed for new hires as part of their orientation materials.<FEEDBACK/>"
"I plan on getting the vaccine, but I wont be considered fully vaccinated on the 8/4 date to enter vaccination status in WorkSafe.  Can I answer the questions again in the future?","Yes, you will be able to update your vaccine status in WorkSafe once you are fully vaccinated."
I understand that I will continue to work at home in the future and I am not near any PulsePoints.  Do I still need to register for WorkSafe?  Do I need to get the vaccine if I never plan to visit a PulsePoint?,"We do need all associates to have a badge, to register for WorkSafe, and answer the vaccination status question so that we can prepare for the future.  That does not mean that you have to get the vaccine, but there may be times when associates will be asked to visit a PulsePoint or attend an event where vaccination is required.  All associates are encouraged to be vaccinated and to visit our PulsePoints when possible.<FEEDBACK/>  "
"I have to work in a PulsePoints and since Im not fully vaccinated yet, my WorkSafe gives me a 'red screen' that means my badge wont admit me to the PulsePoint.  I need to continue to go in until 8/9.  What do I do?","Notify your manager to have your name added to a temporary approval list to give you access through 8/8. As of August 9th, associates will not be allowed in the office unless they are fully vaccinated.  If you become fully vaccinated after 8/9, you can change your vaccination status on WorkSafe and, after passing the daily health screening in WorkSafe (the COVID-19 symptom questions you should answer every day before you go in), then your badge will work again.<FEEDBACK/>  "
"What if I dont have a smartphone, can I access WorkSafe from the web?","To access your WorkSafe account from Pulse Web, go to Pulse and under Tools & Resources click on WorkSafe in the menu.  This should take you to your Daily Health Assessment to register or if already registered to your next Health Assessment.<FEEDBACK/>  "
I have my badge but need to have it activated,"If you have received your badge and need it activated, please send an e mail to  <a href=""mailto:BuildingAccessRequests\@anthem.com"">Building Access Request</a> as per the instructions below:<br/><br/> 
In the Subject line, enter [Your] Last Name, [Your] First Name  [Your] US Domain ID and in the body indicate the badge needs to be activated.  If you do not have access to [Anthem] e-mail, please have your Anthem Manager of Record send the e-mail.<br/><br/> 
Example: Subject: Smith, John  AC34567 <FEEDBACK/>  "
Will new badges be sent to associates?,"Yes, they will be sent to the associates homes."
I have two PulsePoints both located pretty close by. Will I be able to go to both? What if I want to visit one a little farther away?,Associates are certainly welcome to visit any PulsePoint (once officially opened) as long as your manager approves and there is a space available.  Travel is at manager discretion and should be discussed with your manager before traveling.<FEEDBACK/>  
"For associates who are 100% Work@Home before being sent home for COVID-19, what is the requirement for them to go into the PulsePoint?","All associates are valuable members of the Anthem team and will continue to be in our hybrid workforce model regardless of current location or work arrangement. How often associates are expected to go into a PulsePont depends on their hybrid category.  Associates who were full-time W\@H prior to COVID-19 and are too far from an Anthem PulsePoint (requiring air travel, for example) or those whose PulsePoint closed and there is no other PulsePoint within commutable distance may continue to work primarily virtually or in the field,likely in the H3Q category even if they cant get to the office three times per quarter.  Associates who are within a reasonable commuting distance are expected to visit a PulsePoint according to their assigned hybrid category frequency.<FEEDBACK/>  "
